title,summary,release_date,genre,director,duration,imdb_id,country,sitelinks,wikipedia_link,year
The Banshees of Inisherin,,2023-01-05T00:00:00Z,"black comedy, drama film, comedy film, tragicomedy",Martin McDonagh,114,tt11813216,,40,https://en.wikipedia.org/wiki/The_Banshees_of_Inisherin,2023
Migration,,2023-12-06T00:00:00Z,"comedy film, adventure film, family film",Benjamin Renner,82,tt6495056,,40,https://en.wikipedia.org/wiki/Migration,2023
The Fabelmans,,2023-01-19T00:00:00Z,"drama film, coming-of-age film",Steven Spielberg,151,tt14208870,,39,https://en.wikipedia.org/wiki/The_Fabelmans,2023
Suzume,,2023-04-12T00:00:00Z,"road movie, coming-of-age film, adventure anime, fantasy anime, drama anime",Makoto Shinkai,121,tt16428256,,38,https://en.wikipedia.org/wiki/Suzume,2023
Shazam! Fury of the Gods,,2023-03-14T00:00:00Z,"comedy film, action film, adventure film, superhero film",David F. Sandberg,120,tt10151854,,38,https://en.wikipedia.org/wiki/Shazam%21_Fury_of_the_Gods,2023
The Hunger Games: The Ballad of Songbirds and Snakes,,2023-11-15T00:00:00Z,"drama film, action film, adventure film",Francis Lawrence,158,tt10545296,,38,https://en.wikipedia.org/wiki/The_Hunger_Games%3A_The_Ballad_of_Songbirds_and_Snakes,2023
Babylon,,2023-01-18T00:00:00Z,"drama film, period drama film, historical drama",Damien Chazelle,189,tt10640346,,38,https://en.wikipedia.org/wiki/Babylon,2023
Asteroid City,,2023-05-23T00:00:00Z,"drama film, comedy film, science fiction film, comedy drama, romance film",Wes Anderson,105,tt14230388,,37,https://en.wikipedia.org/wiki/Asteroid_City,2023
Scream VI,,2023-03-08T00:00:00Z,"slasher film, comedy horror film","Matt Bettinelli-Olpin, Tyler Gillett",118,tt17663992,,37,https://en.wikipedia.org/wiki/Scream_VI,2023
The Creator,,2023-09-26T00:00:00Z,"drama film, science fiction film, post-apocalyptic film, dystopian film, science fiction action film",Gareth Edwards,133,tt11858890,,36,https://en.wikipedia.org/wiki/The_Creator,2023
M3GAN,,2023-01-06T00:00:00Z,"horror film, science fiction film, thriller film, comedy horror film",Gerard Johnstone,102,tt8760708,,36,https://en.wikipedia.org/wiki/M3GAN,2023
The Holdovers,,2023-10-27T00:00:00Z,"comedy drama, Christmas film",Alexander Payne,133,tt14849194,,36,https://en.wikipedia.org/wiki/The_Holdovers,2023
Transformers: Rise of the Beasts,,2023-06-07T00:00:00Z,"action film, adventure film, science fiction film",Steven Caple Jr.,127,tt5090568,,35,https://en.wikipedia.org/wiki/Transformers%3A_Rise_of_the_Beasts,2023
The Nun II,,2023-09-07T00:00:00Z,"Satanic film, supernatural horror film",Michael Chaves,109,tt10160976,,35,https://en.wikipedia.org/wiki/The_Nun_II,2023
Winnie-the-Pooh: Blood and Honey,,2023-01-01T00:00:00Z,"horror film, slasher film, Horror based on children's characters",Rhys Frake-Waterfield,84,tt19623240,,35,https://en.wikipedia.org/wiki/Winnie-the-Pooh%3A_Blood_and_Honey,2023
Past Lives,,2023-06-09T00:00:00Z,drama film,Celine Song,106,tt13238346,,35,https://en.wikipedia.org/wiki/Past_Lives,2023
20 Days in Mariupol,,2023-01-20T00:00:00Z,"documentary film, war film",Mstyslav Chernov,95,tt24082438,,35,https://en.wikipedia.org/wiki/20_Days_in_Mariupol,2023
The City of Lost Children,,2023-10-05T00:00:00Z,"fantasy film, science fiction film, dystopian film, steampunk film, arthouse science fiction film","Jean-Pierre Jeunet, Marc Caro",112,tt0112682,,34,https://en.wikipedia.org/wiki/The_City_of_Lost_Children,2023
Dungeons & Dragons: Honor Among Thieves,,2023-03-10T00:00:00Z,"fantasy film, comedy film, adventure film, speculative fiction film, sword and sorcery film","John Francis Daley, Jonathan Goldstein",108,tt2906216,,34,https://en.wikipedia.org/wiki/Dungeons_%26_Dragons%3A_Honor_Among_Thieves,2023
Tár,,2023-02-16T00:00:00Z,"drama film, musical film, LGBT-related film, psychological film",Todd Field,158,tt14444726,,34,https://en.wikipedia.org/wiki/T%C3%A1r,2023
Meg 2: The Trench,,2023-08-02T00:00:00Z,"action film, horror film, adventure film, science fiction film, kaiju, thriller film, film based on a novel",Ben Wheatley,116,tt9224104,,34,https://en.wikipedia.org/wiki/Meg_2%3A_The_Trench,2023
